CODE,Cat1,Cat2,Cat3,Cat4,Description,$,T,P,P1
G324,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,Not applicable,Subclavian or external jugular catheter for haemodialysis,insertion,102.95,,,
G325,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,Not applicable,Haemodialysis,Medical component alone,354.2,,,
G327,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,Not applicable,Subclavian or external jugular catheter for haemodialysis,Insertion of femoral catheter for dialysis,77.3,,,
G328,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,BOTULINUM TOXIN SERVICES,EMG and/or ultrasound guidance for Botulinum toxin injections,"Aspiration of bursa or complex joint, with or without injection",39.8,,,
G329,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,BOTULINUM TOXIN SERVICES,EMG and/or ultrasound guidance for Botulinum toxin injections,"each additional bursa or complex joint, to a maximum of 2",20.25,,,
G330,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,Not applicable,Peritoneal dialysis,Acute (up to 48 hours) includes stylette cannula insertion (temporary),237.4,,,
G331,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,Not applicable,Peritoneal dialysis,Repeat acute (up to 48 hours) for the first 3 services,213.7,,,
G332,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,Not applicable,Hydrogen breath test,Capsule endoscopy,,,122.25,
G334,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,Not applicable,Not applicable,"Telephone supervisory fee for ovulation induction with human menopausal gonadotropins or gonadotropin-releasing hormone (not eligible for payment same day as visit), to a maximum of 10 per cycle",4.05,,,
G336,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,Not applicable,Subclavian or external jugular catheter for haemodialysis,revision,17.65,,,
G337,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Not applicable,"Antidiuretic hormone response test including the 8 hour water
deprivation test",16.95,,,
G338,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Not applicable,"Clonidine suppression test (for the investigation of
pheochromocytoma) - with physician present - includes
venipunctures",24.9,,,
G340,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Glucagon test,Histamine test to include a control cold pressor test,45.45,,,
G341,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Glucagon test,Hypertonic saline infusion test,16.95,,,
G342,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Glucagon test,Implantation of hormone pellets,31.05,,,
G344,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Diabetes monthly management ,Phentolamine test,42.3,,,
G345,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,CHEMOTHERAPY,Not applicable,"Complex single agent or multi-agent therapy – chemotherapy and/or biologic agent(s) that can cause vesicant damage, infusion reactions, cardiac, neurologic, marrow or renal toxicities that may require immediate intervention by the physician",75,,,
G347,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEPHROLOGY,SPECIFIC ELEMENTS,Nephrological management of donor procurement,Renal perfusion with hypothermia for organ transplantation,96.35,,,
G348,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEPHROLOGY,SPECIFIC ELEMENTS,Nephrological management of donor procurement,Renal preservation with continuous machine perfusion,96.35,,,
G349,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,Not applicable,Oesophageal Studies,Oesophageal tamponade (Blakemore bag) insertion,45.3,,,
G350,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,Not applicable,Oesophageal Studies,oesophageal motility study(ies) with manometry,,,76.05,
G351,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,Not applicable,Oesophageal Studies,"oesophageal pH study for reflux, with installation of acid, with 24 hour monitoring",,,31.85,
G352,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,Not applicable,Gastric lavage,Biliary tract provocative test with cholecystokinin,9.6,,,
G353,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,Not applicable,Oesophageal Studies,oesophageal acid perfusion test and/or provocative drug testing,,,28.75,
G354,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,Not applicable,Oesophageal Studies,Anal-rectal manometry,,,38.5,
G355,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,Not applicable,Gastric lavage,diagnostic,9.6,,,
G356,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,Not applicable,Gastric lavage,therapeutic with or without ice water lavage,33.8,,,
G357,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,Not applicable,Gastric lavage,therapeutic - with or without ice water lavage,19.55,,,
G358,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Glucagon test,Growth hormone exercise stimulation test with physician present (includes venipunctures),24.9,,,
G359,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,CHEMOTHERAPY,Not applicable,Special single agent or multi-agent therapy – chemotherapy and/or biologic agent(s) with major toxicity that require frequent monitoring and prolonged administration periods and may require immediate intervention by the physician .,105.15,,,
G362,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,Not applicable,Not applicable,Insertion of laminaria tent,6.25,,,
G363,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,Not applicable,Not applicable,Cervical mucous penetration test,22,,,
G365,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,Not applicable,Papanicolaou smear,periodic,12,,,
G366,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CARDIOVASCULAR,ELECTROPHYSIOLOGY/ARRHYTHMIAS,ELECTROPHYSIOLOGY/ARRHYTHMIAS,Testing of arrhythmia inducibility by acute administration of anti-arrhythmic or adrenergic drugs to a maximum of 2 per 24 hours,148.5,,,
G369,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,BOTULINUM TOXIN SERVICES,EMG and/or ultrasound guidance for Botulinum toxin injections,"B.C.G. inoculation, following tuberculin tests",5.3,,,
G370,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,BOTULINUM TOXIN SERVICES,EMG and/or ultrasound guidance for Botulinum toxin injections,"Injection of bursa, or injection and/or aspiration of joint,
ganglion or tendon sheath",20.25,,,
G371,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,BOTULINUM TOXIN SERVICES,EMG and/or ultrasound guidance for Botulinum toxin injections,"each additional bursa, joint, ganglion or tendon sheath, to a maximum of 5",19.9,,,
G372,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,"INTRAMUSCULAR, SUBCUTANEOUS OR INTRADERMAL",Not applicable,- with  visit  (each  injection),3.89,,,
G372,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,"INTRAMUSCULAR, SUBCUTANEOUS OR INTRADERMAL",Not applicable,- each  additional injection,,,,
G373,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,"INTRAMUSCULAR, SUBCUTANEOUS OR INTRADERMAL",Not applicable,- sole  reason  (first  injection),6.75,,,
G374,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,Not applicable,Miscellaneous,I.V. regional guanethidine,54.3,,,
G375,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRALESIONAL INFILTRATION,Not applicable,one or two lesions,8.85,,,
G376,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRAVENOUS ,Not applicable,Newborn or infant,10.2,,,
G377,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRALESIONAL INFILTRATION,Not applicable,3 or more lesions,13.3,,,
G378,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,Not applicable,Not applicable,Insertion of intrauterine contraceptive device,39.95,,,
G379,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRAVENOUS ,Not applicable,"Child, adolescent or adult",6.15,,,
G380,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRAVENOUS ,Not applicable,Cutdown including cannulation as necessary,27.05,,,
G381,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,CHEMOTHERAPY,Not applicable,"Standard chemotherapy - agents with minor toxicity that
require physician monitoring",54.25,,,
G382,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,CHEMOTHERAPY,Monthly telephone supervision,"Supervision of chemotherapy (pharmacologic therapy of malignancy or autoimmune disease) by telephone, monthly",13.95,,,
G383,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRALESIONAL INFILTRATION,Not applicable,extensive,,,,
G384,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRALESIONAL INFILTRATION,Not applicable,Infiltration of tissues for trigger point,8.85,,,
G385,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRALESIONAL INFILTRATION,Not applicable,for each additional site (to a maximum of 2),4.55,,,
G387,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRAVENOUS ,Not applicable,Intravenous local anaesthetic infusion for central neuropathic pain,125,,,
G388,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,CHEMOTHERAPY,Management of special oral chemotherapy,"Management of special oral chemotherapy, for malignant disease",25.75,,,
G389,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRAVENOUS ,Not applicable,"Infusion of gamma globulin, initiated by physician, including preparation per patient, per day",13.9,,,
G390,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,CHEMOTHERAPY,Not applicable,Supervision of chemotherapy for induction phase of acute leukemia or myeloablative therapy prior to bone marrow transplantation (maximum of 1 per induction phase or myeloablative therapy),262.4,,,
G391,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,LIFE THREATENING CRITICAL CARE,Not applicable,Amount payable per physician per patient for the fourth and subsequent physicians (per ¼ hour or part thereof),30.6,,,
G391,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,OTHER CRITICAL CARE,Not applicable,Amount payable per physician per patient for the fourth and subsequent physicians (per ¼ hour or part thereof),30.6,,,
G394,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,Not applicable,Papanicolaou smear,"additional for:
- follow-up of abnormal pap smear; or
- follow-up of inadequate pap smear; or
- annually in a patient who is immunocompromised, e.g.
HIV-positive or taking long-term immunosuppressants; or
- a patient with a history of oncogenic HPV-typing; or
- where the physician is of the opinion that the patient is a
member of a vulnerable group that may have difficulty
accessing the services within the specified time period...",12,,,
G395,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,OTHER CRITICAL CARE,Not applicable,first ¼ hour (or part thereof),57.45,,,
G396,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,BOTULINUM TOXIN SERVICES,EMG and/or ultrasound guidance for Botulinum toxin injections,Injections of extensive keloids,24.9,,,
G398,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,Not applicable,Medical management of prolapse - Pessary,Pessary fitting – initial or re-fitting,63.65,,,
G399,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,Not applicable,Not applicable,is only eligible for payment when transvaginal sonohysterography professional and technical services (J165 or J476) are rendered (either by the same or another physician). [Commentary: 1.See Diagnostic Ultrasound section page G6. 2.G334 is not insured when rendered to support in-vitro fertilization services or artificial insemination services. See Regulation 552 section 24(1) paragraph 23 and 29 under the Act.] Papanicolaou smear + G365 periodic,44.15,,,
G400,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,CRITICAL CARE (INTENSIVE CARE AREA),Not applicable,1st day,223.1,,,
G401,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,CRITICAL CARE (INTENSIVE CARE AREA),Not applicable,"2nd to 30th day, inclusive",146.45,,,
G402,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,CRITICAL CARE (INTENSIVE CARE AREA),Not applicable,31st day onwards,58.6,,,
G404,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PSYCHIATRY AND RESPIRATORY DISEASE,RESPIRATORY  DISEASE,Not applicable,Chronic ventilatory care outside an Intensive Care Unit,61,,,
G405,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,VENTILATORY SUPPORT (INTENSIVE CARE AREA),Not applicable,1st day,183.8,,,
G406,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,VENTILATORY SUPPORT (INTENSIVE CARE AREA),Not applicable,"2nd to 30th day, inclusive",96.45,,,
G407,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,VENTILATORY SUPPORT (INTENSIVE CARE AREA),Not applicable,31st day onwards,64.2,,,
G408,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEPHROLOGY,SPECIFIC ELEMENTS,Nephrological component of renal transplantation,"2nd to 10th day, inclusive",155.9,,,
G409,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEPHROLOGY,SPECIFIC ELEMENTS,Nephrological component of renal transplantation,"11th to 21st day, inclusive",77.95,,,
G410,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,Not applicable,Not applicable,Amytal test (Wada)-bilateral supervision and co-ordination of tests,68.4,,,
G411,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEPHROLOGY,SPECIFIC ELEMENTS,Nephrological management of donor procurement,Nephrological management of donor procurement,192.1,,,
G412,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEPHROLOGY,SPECIFIC ELEMENTS,Nephrological component of renal transplantation,1st day following transplantation,311.9,,,
G413,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,Not applicable,Not applicable,Electrocorticogram supervision and interpretation,170.85,,,
G414,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,ELECTROENCEPHALOGRAPHY,Routine  EEG,Routine EEG technical component,,25.75,,
G415,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,ELECTROENCEPHALOGRAPHY,Routine  EEG,Routine EEG professional component,,,23.15,
G417,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,Not applicable,Electrophysiological assessment ,inserting subtemporal needle electrodes,15.9,,,
G418,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,ELECTROENCEPHALOGRAPHY,Routine  EEG,Routine EEG professional component (16 21 channel EEG),,,62.5,
G419,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,Not applicable,Not applicable,Tensilon test,20.6,,,
G421,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Radioactive phosphorus examination,Subconjunctival or sub-Tenons capsule injection,27.7,,,
G422,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - PERIPHERAL/OTHER INJECTIONS,Not applicable,Pudendal,Retrobulbar injection (not to be claimed when used as a local anaesthesia),34.2,,,
G423,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Contact lens fitting,"One eye only, when the other eye has been previously fitted by the same physician, with follow-up for 3 months",90.3,,,
G424,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Contact lens fitting,includes follow-up for 3 months except for patients under 4 years of age at the time of the initial fitting,201,,,
G425,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Fluorescein angiography,professional component,,,44.4,
G426,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Contact lens fitting,"Glaucoma provocative tests, including water drinking tests",9.7,,,
G427,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Contact lens fitting,Ophthalmodynamometry,9.6,,,
G428,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Hess screen examination,professional component,,,6.85,
G429,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Radioactive phosphorus examination,", G430, G421 for bilateral procedures, add 50% of the listed benefit. + G435 Tonometry",42.45,,,
G430,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Radioactive phosphorus examination,posterior approach,86.05,,,
G431,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Contact lens fitting,under general anaesthesia,41.6,,,
G432,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Visual fields - static,professional component,,,26.95,
G433,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Tonography (to include tonometry) with or without water,professional component,,,9.9,
G435,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Radioactive phosphorus examination,Tonometry,5.1,,,
G436,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Visual fields - kinetic (with permanent record),professional component,,,14.5,
G437,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Dark adaptation curve (Goldmann adaptometer or equivalent),professional component,,,22.9,
G438,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Colour vision detailed assessment,professional component,,,22.15,
G439,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Electro-retinography with report,Full field electro-retinography professional component,,,75,
G444,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Fluorescein angioscopy,professional component,,,7,
G453,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Contact lens fitting,Electro-oculogram interpretation fee,41.6,,,
G455,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,NEEDLE ELECTROMYOGRAPHY AND NERVE CONDUCTION STUDIES,Schedule A,technical component,,28.9,,
G456,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,NEEDLE ELECTROMYOGRAPHY AND NERVE CONDUCTION STUDIES,Schedule A,professional component,,,99.9,
G457,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,NEEDLE ELECTROMYOGRAPHY AND NERVE CONDUCTION STUDIES,Schedule B,professional component,,,61.95,
G458,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,NEEDLE ELECTROMYOGRAPHY AND NERVE CONDUCTION STUDIES,Single fibre electromyography,Single fibre electromyography,191.7,,,
G460,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,OCULAR PHOTODYNAMIC THERAPY (PDT),Not applicable,Unilateral PDT per patient,330,,,
G461,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,OCULAR PHOTODYNAMIC THERAPY (PDT),Not applicable,Bilateral PDT per patient,500,,,
G462,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,INTRALESIONAL INFILTRATION,Not applicable,Administration of oral polio vaccine,1.65,,,
G463,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,Not applicable,Contact lens fitting,Hydrophilic Bandage lens fitting,90.3,,,
G466,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,NEEDLE ELECTROMYOGRAPHY AND NERVE CONDUCTION STUDIES,Schedule B,technical component,,19.45,,
G470,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DERMATOLOGY,ULTRAVIOLET LIGHT THERAPY,Not applicable,Ultraviolet  light  therapy,7.85,,,
G471,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,NEEDLE ELECTROMYOGRAPHY AND NERVE CONDUCTION STUDIES,Schedule C,technical component,,28.9,,
G473,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,NEEDLE ELECTROMYOGRAPHY AND NERVE CONDUCTION STUDIES,Schedule C,"professional component, when physician performs EMG and/or performs or supervises nerve conduction studies and interprets the results",,,275,
G475,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,UROLOGY,Not applicable,Not applicable,"Cystometrogram  and/or  voiding  pressure  studies and/or  flow  
rate  with  or  without  postural  studies and/or  urethral  pressure  
profile  including  interpretation",23.75,,,
G476,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,UROLOGY,Not applicable,Not applicable,Prostatic massage,5.4,,,
G477,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,UROLOGY,Not applicable,Not applicable,Interpretation of comprehensive urodynamic studies (when the procedure is done by paramedical personnel) ,,,5.4,
G478,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PSYCHIATRY AND RESPIRATORY DISEASE,PSYCHIATRY,Electroconvulsive  therapy  (ECT)  cerebral  - single  or  multiple ,- in-patient,89.7,,,
G479,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PSYCHIATRY AND RESPIRATORY DISEASE,PSYCHIATRY,Electroconvulsive  therapy  (ECT)  cerebral  - single  or  multiple ,- out-patient,103.4,,,
G480,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CARDIOVASCULAR,not applicable,Venipuncture,infant,9.9,,,
G481,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,LABORATORY MEDICINE,LABORATORY MEDICINE IN PHYSICIAN’S OFFICE,Miscellaneous Tests,Haemoglobin screen and/or haematocrit (any method or instrument),1.37,,,
G482,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CARDIOVASCULAR,not applicable,Venipuncture,child,7.35,,,
G483,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CARDIOVASCULAR,not applicable,Venipuncture,Therapeutic venisection,9.7,,,
G485,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,CHEMODENERVATION INJECTION,Not applicable,first major nerve and/or branches,45.45,,,
G486,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,CHEMODENERVATION INJECTION,Not applicable,each additional major nerve and/or its branches same day,28.5,,,
G487,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,CHEMODENERVATION INJECTION,Repeat or additional procedure within 30 days of previous chemodenervation injection,first major nerve and/or its branches,28.5,,,
G488,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PHYSICAL MEDICINE,CHEMODENERVATION INJECTION,Repeat or additional procedure within 30 days of previous chemodenervation injection,each additional major nerve and/or its branches same day,18.8,,,
G489,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CARDIOVASCULAR,not applicable,Venipuncture,is not insured when rendered for the monitoring of adverse effects resulting from a calorie restricted weight loss program. + G483 Therapeutic venisection,3.54,,,
G490,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Diabetes monthly management ,Saralasin test,42.3,,,
G493,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Not applicable,"ACTH test - single or multiple, per injection",6.25,,,
G494,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Glucagon test,(Type A) for carbohydrate response,10.2,,,
G495,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Glucagon test,"(Type B) for hypertension, pheochromocytoma and
insulinoma provocative test (including cold pressor test)",42.3,,,
G496,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,ELECTROENCEPHALOGRAPHY,EEG with time-locked video recording,professional component,,,120,
G497,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Glucagon test,"Insulin hypoglycemia pituitary function test with or without TRH
and LHRH alone or in combination",49.8,,,
G498,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Diabetes monthly management ,Intravenous glucose tolerance test,10.2,,,
G499,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Diabetes monthly management ,Intravenous tolbutamide test,49.8,,,
G500,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Diabetes monthly management ,"month in which insulin injections (2 or more daily) or insulin by pump is initiated; or month in which initial assessment by a specialist of a diabetic patient treated with insulin injections (2 or more daily) or insulin by pump occurs, 1 or more contacts",31.8,,,
G501,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Diabetes monthly management ,"TRH or LHRH test, per injection",6.25,,,
G509,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CARDIOVASCULAR,ANGIOGRAPHY,Bypass graft angiogram,maximum one per bypass graft,80.4,,,
G510,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,SPECIFIC ELEMENTS,For  Management  of  parenteral  alimentation,Management of parenteral alimentation physician in charge per visit,21,,,
G511,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PALLIATIVE CARE,TELEPHONE MANAGEMENT OF PALLIATIVE CARE,Not applicable,Telephone management regarding a patient receiving palliative care at home,17.75,,,
G512,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PALLIATIVE CARE,PALLIATIVE CARE CASE MANAGEMENT FEE,Not applicable,Palliative care case management fee,67.75,,,
G513,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Diabetes monthly management ,Pentagastrin stimulation for calcitonin,42.3,,,
G514,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Diabetes monthly management ,"each additional month, 1 to 3 contacts",10.6,,,
G515,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,Not applicable,Open circuit indirect calorimetry,Open circuit indirect calorimetry,46.3,,,
