Billing Code,Category,Sub Category,Sub Category 2,Description,Provider Fee,Assistant Fee,Specialist Fee,Anaesthetist fee,Non- Anaesthetist fee,,,,,,,,,,,,,,,,
G496,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G497,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,,,,,,,,,,,,,,,,,,,,,,,
G498,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,,,,,,,,,,,,,,,,,,,,,,,
G499,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,,,,,,,,,,,,,,,,,,,,,,,
G500,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,,,,,,,,,,,,,,,,,,,,,,,
G501,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,,,,,,,,,,,,,,,,,,,,,,,
G509,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CARDIOVASCULAR,,,,,,,,,,,,,,,,,,,,,,,
G512,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PALLIATIVE CARE,,,,,,,,,,,,,,,,,,,,,,,
G513,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,,,,,,,,,,,,,,,,,,,,,,,
G514,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,,,,,,,,,,,,,,,,,,,,,,,
G515,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,,,,,,,,,,,,,,,,,,,,,,,
G516,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GASTROENTEROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G517,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NON-INVASIVE CARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G518,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,BLOOD FLOW STUDY (DOPPLER OR OTHER) - UNILATERAL OR BILATERAL,,,,,,,,,,,,,,,,,,,,,,,
G518,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NON-INVASIVE CARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G519,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,BLOOD FLOW STUDY (DOPPLER OR OTHER) - UNILATERAL OR BILATERAL,,,,,,,,,,,,,,,,,,,,,,,
G519,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NON-INVASIVE CARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G520,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ENDOCRINOLOGY AND METABOLISM,,,,,,,,,,,,,,,,,,,,,,,
G521,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G522,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G523,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G524,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G525,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OTOLARYNGOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G526,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OTOLARYNGOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G529,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OTOLARYNGOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G530,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OTOLARYNGOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G533,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OTOLARYNGOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G536,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G537,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G540,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G541,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G541,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G542,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G543,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G544,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G545,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G546,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G547,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G548,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G550,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G551,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G552,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,GYNAECOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G552,FEMALE GENITAL SURGICAL PROCEDURES,VAGINA,,,,,,,,,,,,,,,,,,,,,,,
G554,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G555,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G556,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G557,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G558,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G559,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G570,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ECHOCARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G571,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ECHOCARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G574,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ECHOCARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G575,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ECHOCARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G579,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ECHOCARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G580,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ECHOCARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G581,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ECHOCARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G582,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ECHOCARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G583,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ECHOCARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G585,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ECHOCARDIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,
G600,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G601,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G603,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G604,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G610,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G611,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G620,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G621,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G647,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G648,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G649,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G650,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G651,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G652,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G653,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G654,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G655,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G656,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G657,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G658,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G659,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G682,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G683,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G684,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G685,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G686,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G687,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G688,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G689,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G694,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G695,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G696,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,ELECTROCARDIOGRAPHY (ECG),,,,,,,,,,,,,,,,,,,,,,,
G700,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,PREAMBLE,,,,,,,,,,,,,,,,,,,,,,,
G790,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROSURGERY,,,,,,,,,,,,,,,,,,,,,,,
G791,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROSURGERY,,,,,,,,,,,,,,,,,,,,,,,
G792,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NEUROSURGERY,,,,,,,,,,,,,,,,,,,,,,,
G800,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G801,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G802,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G804,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G805,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G807,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,CRITICAL CARE,,,,,,,,,,,,,,,,,,,,,,,
G810,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G811,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G811,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G812,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G813,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G814,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G815,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OTOLARYNGOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G816,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OTOLARYNGOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G821,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G822,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G850,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G851,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G852,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G853,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G854,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G855,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G856,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G857,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G858,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,OPHTHALMOLOGY,,,,,,,,,,,,,,,,,,,,,,,
G860,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,,,,,,,,,,,,,,,,,,,,,,,
G861,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,,,,,,,,,,,,,,,,,,,,,,,
G862,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,,,,,,,,,,,,,,,,,,,,,,,
G863,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,,,,,,,,,,,,,,,,,,,,,,,
G864,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,,,,,,,,,,,,,,,,,,,,,,,
G865,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,,,,,,,,,,,,,,,,,,,,,,,
G866,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,DIALYSIS,,,,,,,,,,,,,,,,,,,,,,,
G869,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G870,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G871,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G873,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G874,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G874,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G874,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G875,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G875,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G875,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G876,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G877,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G878,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G878,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G879,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G880,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,INJECTIONS OR INFUSIONS,,,,,,,,,,,,,,,,,,,,,,,
G900,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,UROLOGY,,,,,,,,,,,,,,,,,,,,,,,
G910,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G911,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G912,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G913,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G914,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G915,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G916,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G918,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G918,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G919,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G920,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G920,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
G921,DIAGNOSTIC AND THERAPEUTIC PROCEDURES,NERVE BLOCKS - INTERVENTIONAL PAIN INJECTIONS,,,,,,,,,,,,,,,,,,,,,,,
H001,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H002,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H003,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H007,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H055,CONSULTATIONS AND VISITS,EMERGENCY MEDICINE (12),,,,,,,,,,,,,,,,,,,,,,,
H065,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H100,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H101,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H102,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H103,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H104,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H105,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H112,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H113,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H121,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H122,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H123,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H124,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H131,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H132,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H133,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H134,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H151,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H152,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H153,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H154,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
H261,CONSULTATIONS AND VISITS,PAEDIATRICS (26),,,,,,,,,,,,,,,,,,,,,,,
H262,CONSULTATIONS AND VISITS,PAEDIATRICS (26),,,,,,,,,,,,,,,,,,,,,,,
H263,CONSULTATIONS AND VISITS,PAEDIATRICS (26),,,,,,,,,,,,,,,,,,,,,,,
H267,CONSULTATIONS AND VISITS,PAEDIATRICS (26),,,,,,,,,,,,,,,,,,,,,,,
H312,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),,,,,,,,,,,,,,,,,,,,,,,
H313,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),,,,,,,,,,,,,,,,,,,,,,,
H317,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),,,,,,,,,,,,,,,,,,,,,,,
H319,CONSULTATIONS AND VISITS,PHYSICAL MEDICINE & REHABILITATION (31),,,,,,,,,,,,,,,,,,,,,,,
J001,CLINICAL PROCEDURES ASSOCIATED WITH DIAGNOSTIC RADIOLOGICAL EXAMINATIONS,MISCELLANEOUS PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,
J002,CLINICAL PROCEDURES ASSOCIATED WITH DIAGNOSTIC RADIOLOGICAL EXAMINATIONS,MISCELLANEOUS PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,
J003,CLINICAL PROCEDURES ASSOCIATED WITH DIAGNOSTIC RADIOLOGICAL EXAMINATIONS,MISCELLANEOUS PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,
J004,CLINICAL PROCEDURES ASSOCIATED WITH DIAGNOSTIC RADIOLOGICAL EXAMINATIONS,MISCELLANEOUS PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,
