Billing Code,Category,Sub Category,Sub Category 2,Description,Charge $(provider),Charge T,Charge P,Charge P1,Charge(H)
E845,,,,,140,,,,
E846,,,,,95.7,,,,
E847,,,,,75,,,,
E848,,,,,80,,,,
E849,,,,,220,,,,
E852,,,,,49.25,,,,
E853,,,,,145,,,,
E854,,,,,170,,,,
E855,,,,,25.85,,,,
E857,,,,,78.45,,,,
E860,,,,,131.45,,,,
E861,,,,,9,,,,
E862,,,,,,,,,
E863,,,,,,,,,
E870,,,,,8.35,,,,
E874,,,,,,,64,,
E875,,,,,,,19.4,,
E876,,,,,,,9.7,,
E877,,,,,,,,,
E880,,,,,184.6,,,,
E882,,,,,177.4,,,,
E883,,,,,266.6,,,,
E884,,,,,374,,,,
E885,,,,,106,,,,
E886,,,,,800,,,,
E887,,,,,500,,,,
E888,,,,,500,,,,
E889,,,,,520,,,,
E890,,,,,520,,,,
E891,,,,,520,,,,
E892,,,,,500,,,,
E893,,,,,555,,,,
E894,,,,,229.55,,,,
E895,,,,,373.8,,,,
E896,,,,,400.4,,,,
E898,,,,,283.8,,,,
E899,,,,,102.45,,,,
E901,,,,,234.65,,,,
E902,,,,,454.15,,,,
E903,,,,,614.7,,,,
E904,,,,,241,,,,
E905,,,,,750,,,,
E906,,,,,,,,,
E908,,,,,304.3,,,,
E911,,,,,,,,,
E912,,,,,233.3,,,,
E916,,,,,233.3,,,,
E917,,,,,301.7,,,,
E918,,,,,132.8,,,,
E919,,,,,254.45,,,,
E921,,,,,262.15,,,,
E922,,,,,215.35,,,,
E925,,,,,,,,,
E930,,,,,102.35,,,,
E931,,,,,222.85,,,,
E932,,,,,205,,,,
E933,,,,,99.85,,,,
E934,,,,,204.8,,,,
E935,,,,,307.7,,,,
E936,,,,,90,,,,
E937,,,,,100,,,,
E938,,,,,213.2,,,,
E939,,,,,150,,,,
E940,,,,,105,,,,
E941,,,,,296.9,,,,
E942,,,,,53.2,,,,
E943,,,,,89.45,,,,
E944,,,,,175.15,,,,
E945,,,,,52.4,,,,
E946,,,,,106.45,,,,
E947,,,,,306.85,,,,
E948,,,,,113.2,,,,
E949,,,,,180,,,,
E950,,,,,92.5,,,,
E951,,,,,52.4,,,,
E953,,,,,80.9,,,,
E954,,,,,80.9,,,,
E955,,,,,202.35,,,,
E956,,,,,399.9,,,,
E957,,,,,138.05,,,,
E958,,,,,,,,,
E959,,,,,106.45,,,,
E960,,,,,103.8,,,,
E961,,,,,296.6,,,,
E962,,,,,594.2,,,,
E963,,,,,296.6,,,,
E964,,,,,594.2,,,,
E965,,,,,296.6,,,,
E966,,,,,594.2,,,,
E967,,,,,256.4,,,,
E968,,,,,511.9,,,,
E969,,,,,204.8,,,,
E970,,,,,307.15,,,,
E971,,,,,383.65,,,,
E972,,,,,511.9,,,,
E973,,,,,178.9,,,,
E974,,,,,297.55,,,,
E975,,,,,76.5,,,,
E976,,,,,154,,,,
E977,,,,,,,,,
E979,,,,,396.7,,,,
E981,,,,,132.35,,,,
E982,,,,,,,,,
E983,,,,,,,,,
E984,,,,,137.5,,,,
E985,,,,,106.45,,,,
E986,,,,,250,,,,
F004,,,,,49.2,,,,
F 005,,,,,99.25,,,,
F006,,,,,119.75,,,,
F007,,,,,298.45,,,,
F008,,,,,49.2,,,,
F009,,,,,99.25,,,,
F010,,,,,335.8,,,,
F011,,,,,262.6,,,,
F012,,,,,49.2,,,,
F013,,,,,119.8,,,,
F014,,,,,67.75,,,,
F 015,,,,,335.8,,,,
F016,,,,,115.1,,,,
F017,,,,,346.15,,,,
F018,,,,,49.2,,,,
F019,,,,,480,,,,
F020,,,,,193,,,,
F021,,,,,392.4,,,,
F022,,,,,144.8,,,,
F023,,,,,416.65,,,,
F024,,,,,67.75,,,,
F 025,,,,,148.5,,,,
F026,,,,,567.15,,,,
F027,,,,,67.75,,,,
F028,,,,,109.45,,,,
F029,,,,,67.75,,,,
F030,,,,,522.2,,,,
F031,,,,,81.3,,,,
F032,,,,,117.85,,,,
F033,,,,,438.05,,,,
F034,,,,,126.25,,,,
F035,,,,,129,,,,
F036,,,,,494.1,,,,
F037,,,,,126.25,,,,
F038,,,,,214.45,,,,
F039,,,,,67.75,,,,
F040,,,,,298.35,,,,
F041,,,,,983.45,,,,
F042,,,,,67.8,,,,
F043,,,,,147.6,,,,
F044,,,,,655.5,,,,
F045,,,,,312.7,,,,
F046,,,,,149.35,,,,
F047,,,,,67.8,,,,
F048,,,,,117.85,,,,
F049,,,,,290.55,,,,
F050,,,,,67.8,,,,
F051,,,,,183.8,,,,
F052,,,,,559.85,,,,
F053,,,,,67.8,,,,
F054,,,,,133.6,,,,
F055,,,,,514.95,,,,
F056,,,,,49.2,,,,
F057,,,,,77.95,,,,
F058,,,,,72.35,,,,
F059,,,,,144.8,,,,
F060,,,,,172.3,,,,
F061,,,,,49.2,,,,
F062,,,,,67.75,,,,
F063,,,,,98.35,,,,
F064,,,,,178.2,,,,
F065,,,,,249.65,,,,
F066,,,,,98.1,,,,
F067,,,,,165.2,,,,
F068,,,,,454.35,,,,
F070,,,,,97.35,,,,
F071,,,,,161.45,,,,
F072,,,,,588.2,,,,
F074,,,,,67.75,,,,
F075,,,,,144.8,,,,
F076,,,,,309.7,,,,
F077,,,,,571.3,,,,
F078,,,,,115.95,,,,
F079,,,,,180.05,,,,
F080,,,,,604.15,,,,
F081,,,,,660,,,,
F082,,,,,67.75,,,,
F083,,,,,101.25,,,,
F084,,,,,230.2,,,,
F085,,,,,67.75,,,,
F087,,,,,288.25,,,,
F094,,,,,258,,,,
F095,,,,,407.35,,,,
F096,,,,,670,,,,
F097,,,,,258.9,,,,
F098,,,,,426.9,,,,
F099,,,,,408.3,,,,
F100,,,,,659.45,,,,
F101,,,,,669.6,,,,
F102,,,,,49.2,,,,
F104,,,,,242.25,,,,
F108,,,,,644.3,,,,
F110,,,,,62.2,,,,
F115,,,,,208.8,,,,
F118,,,,,458.75,,,,
F119,,,,,67.8,,,,
F121,,,,,799.25,,,,
F123,,,,,115.95,,,,
F124,,,,,,,,,
F125,,,,,,,,,
F131,,,,,,,,,
F134,,,,,442.45,,,,
F135,,,,,680.3,,,,
F136,,,,,102.35,,,,
F137,,,,,316.35,,,,
F138,,,,,350,,,,
F139,,,,,575,,,,
F140,,,,,100,,,,
F142,,,,,685.2,,,,
F143,,,,,577.65,,,,
F144,,,,,1594.9,,,,
F146,,,,,,,,,
F150,,,,,256.4,,,,
F200,,,,,178.5,,,,
F201,,,,,280.5,,,,
G001,,,,Cholesterol,5.7,,,,
G002,,,,Glucose,2.26,,,,
G004,,,,Occult blood,1.58,,,,
G005,,,,Pregnancy test,3.88,,,,
G009,,,,,4.45,,,,
G010,,,,One or more parts of above without microscopy,2.64,,,,
G011,,,,,13.05,,,,
G012,,,,Wet preparation (for fungus,1.93,,,,
G014,,,,Rapid streptococcal test,5.7,,,,
G015,,,,FSH (pituitary gonadotrophins),11.37,,,,
G016,,,,TSH ( thyroid stimulating hormone),9.82,,,,
G017,,,,Prolactin,14.48,,,,
G018,,,,Estradiol,28.44,,,,
G019,,,,LH (luteinizing hormone),9.31,,,,
G020,,,,Progesterone,14.48,,,,
G021,,,,HCG (human chorionic gonadotrophins) quantitative,15.51,,,,
G022,,,,Testosterone,14.48,,,,
G023,,,,Testosterone,25.85,,,,
G024,,,,Androstenedione,38.78,,,,
G025,,,,Dehydroepiandrosterone sulphate (DHEAS),20.68,,,,
G026,,,,,31.02,,,,
G027,,,,Seminal fluid examination (complete),11.37,,,,
G028,,,,,10.34,,,,
G029,,,,Antithrombin III assay,28.44,,,,
G030,,,,Circulating anticoagulant (e,5.17,,,,
G031,,,,Prothrombin time,6.4,,,,
G032,,,,Anti-DNA,23.27,,,,
G033,,,,Anti-RNA,23.27,,,,
G034,,,,Serial tube 4 or more antigens,15.51,,,,
G035,,,,Titre - serial t ube single antigen,7.76,,,,
G036,,,,Sperm antibodies - screen,10.34,,,,
G037,,,,Sperm antibodies - titre,20.68,,,,
G039,,,,Creatinine,1.03,,,,
G040,,,,,15,,,,
G041,,,,,3.7,,,,
G042,,,,,2.5,,,,
G043,,,,,7.5,,,,
G050,,,,,203.05,,,,
G060,,,,Peripheral nerve block,55,,,,
G061,,,,Peripheral nerve block,30,,,,
G062,,,,,160,,,,
G063,,,,Initiation of outpatient continuous nerve block infusion,29.2,,,,
G064,,,,,20,,,,
G065,,,,,62.5,,,,
G066,,,,Intrapleural block,55,,,,
G067,,,,,80,,,,
G068,,,,,125,,,,
G075,,,,,30.5,,,,
G082,,,,,380.75,,,,
G083,,,,,380.75,,,,
G085,,,,,369.65,,,,
G090,,,,,317.25,,,,
G094,,,,,67,,,,
G096,,,,,67,,,,
G098,,,,Transfusion support,32.35,,,,
G099,,,,,168.4,,,,
G100,,,,Haemophilia infusion,32.35,,,,
G101,,,,Home/self-care ventilation,33.55,,,,
G103,,,,,6.05,,,,
G104,,,,,,19.6,,,
G105,,,,,,,20.9,,
G108,,,,Computerized rotation tests,20.2,,,,
G111,,,,,,53.6,,,
G112,,,,,,,74.25,,
G115,,,,,46.3,,,,
G117,,,,,170,,,,
G118,,,,,130,,,,
G119,,,,or G918,190,,,,
G120,,,,,,,7,,
G121,,,,,,13.25,,,
G123,,,,,17.1,,,,
G125,,,,,100,,,,
G126,,,,,,,7,,
G127,,,,,,13.25,,,
G138,,,,,,,71.65,,
G140,,,,,,42.4,,,
G141,,,,,,,19.15,,
G143,,,,,,38,,,
G144,,,,,,,19.15,,
G146,,,,,,38,,,
G147,,,,,,,12.3,,
G149,,,,,,18.55,,,
G150,,,,,,,19.2,,
G152,,,,,,31.8,,,
G153,,,,,,10.3,,,
G154,,,,,,,41.7,,
G166,,,,,,,10.45,,
G167,,,,,,7,,,
G174,,,,,,49.35,,,
G175,,,,,21.85,,,,
G176,,,,,334.25,,,,
G177,,,,,416.8,,,,
G178,,,,,352.05,,,,
G179,,,,,111.2,,,,
G180,,,,,,,16.95,,
G181,,,,,,12.2,,,
G185,,,,,184.95,,,,
G190,,,,,184.95,,,,
G191,,,,Optokinetic tests,12.4,,,,
G192,,,,,73.65,,,,
G193,,,,,43.85,,,,
G194,,,,,8.35,,,,
G195,,,,,17,,,,
G196,,,,,17,,,,
G197,,,,,,,0.37,,
G198,,,,,2.39,,,,
G199,,,,,40,,,,
G200,,,,,8.65,,,,
G201,,,,,1.6,,,,
G202,,,,,4.45,,,,
G203,,,,,1.6,,,,
G204,,,,,12.4,,,,
G205,,,,,13.15,,,,
G206,,,,,2.39,,,,
G207,,,,,14.15,,,,
G208,,,,Provocation testing,21.25,,,,
G209,,,,,,0.72,,,
G210,,,,,190.75,,,,
G211,,,,,38.35,,,,
G212,,,,,9.75,,,,
G213,,,,,13.8,,,,
G214,,,,Brachial plexus,54.65,,,,
G217,,,,,200,,,,
G218,,,,Ilioinguinal and iliohypogastric nerves,54.65,,,,
G219,,,,Infraorbital,34.2,,,,
G220,,,,Intercostal nerve,34.2,,,,
G221,,,,,16.95,,,,
G223,,,,,17.1,,,,
G224,,,,Nerve block by same physician performing the procedure,15.55,,,,
G225,,,,Mental branch of mandibular nerve,34.2,,,,
G226,,,,,82.45,,,,
G227,,,,Other cranial nerve block,54.65,,,,
G228,,,,,34.1,,,,
G229,,,,,54.65,,,,
G230,,,,,54.65,,,,
G231,,,,,34.1,,,,
G232,,,,,150,,,,
G233,,,,,200,,,,
G234,,,,,55.1,,,,
G235,,,,Supraorbital,34.1,,,,
G236,,,,,150,,,,
G238,,,,Transverse scapular nerve,34.1,,,,
G239,,,,,127.6,,,,
G240,,,,,82.45,,,,
G241,,,,,54.65,,,,
G242,,,,,82.45,,,,
G243,,,,,54.65,,,,
G244,,,,,81.95,,,,
G245,,,,,180,,,,
G246,,,,Lumbar,150,,,,
G247,,,,,30.1,,,,
G248,,,,,55,,,,
G249,,,,,231.65,,,,
G250,,,,,75.1,,,,
G251,,,,,,,27.05,,
G254,,,,,34.7,,,,
G256,,,,Superior laryngeal nerve,34.1,,,,
G257,,,,,77.25,,,,
G258,,,,Intrapleural block (single injection),44.25,,,,
G259,,,,,383.3,,,,
G260,,,,Major plexus block,80,,,,
G261,,,,,331.05,,,,
G262,,,,,210.4,,,,
G263,,,,,96.45,,,,
G264,,,,,34.1,,,,
G265,,,,,17.1,,,,
G266,,,,,278.85,,,,
G267,,,,,270.05,,,,
G268,,,,,31.25,,,,
G269,,,,,31.25,,,,
G270,,,,,23.9,,,,
G271,,,,,12.75,,,,
G272,,,,,,,,,
G275,,,,,205.45,,,,
G276,,,,,15.35,,,,
G277,,,,,82,,,,
G278,,,,,41.8,,,,
G279,,,,Percutaneous nerve block catheter insertion,80,,,,
G280,,,,,186.9,,,,
G281,,,,,7.7,,,,
G282,,,,,19.9,,,,
G283,,,,,,,11.3,,
G284,,,,,,9.3,,,
G285,,,,,32.9,,,,
G286,,,,,32.9,,,,
G287,,,,,82,,,,
G288,,,,,200,,,,
G289,,,,,110.95,,,,
G290,,,,,41.8,,,,
G291,,,,,19.85,,,,
G292,,,,,10,,,,
G296,,,,,110.95,,,,
G297,,,,,117.55,,,,
G298,,,,,78.95,,,,
G299,,,,,110.95,,,,
G300,,,,,110.95,,,,
G301,,,,,122.4,,,,
G303,,,,Transthoracic pacemaker - insertion,51.25,,,,
G305,,,,,122.4,,,,
G306,,,,,110.95,,,,
G307,,,,,,,9.55,,
G308,,,,,,9.3,,,
G309,,,,,45.55,,,,
G310,,,,,,7,,,
G311,,,,,,2.03,,,
G312,,,,,15.4,,,,
G313,,,,,,,4.45,,
G314,,,,,112,,,,
G315,,,,,,45.95,,,
G317,,,,,,,27.8,,
G319,,,,,,,62.05,,
G320,,,,,,,4.3,,
G321,,,,,,,47.65,,
G322,,,,,9.6,,,,
G323,,,,,177.1,,,,
G324,,,,,102.95,,,,
G325,,,,,354.2,,,,
G327,,,,,77.3,,,,
G328,,,,,39.8,,,,
G329,,,,,20.25,,,,
G330,,,,,237.4,,,,
G331,,,,,213.7,,,,
G332,,,,,,,122.25,,
G334,,,,,4.05,,,,
G336,,,,,17.65,,,,
G337,,,,,16.95,,,,
G338,,,,,24.9,,,,
G340,,,,,45.45,,,,
G341,,,,,16.95,,,,
G342,,,,,31.05,,,,
G344,,,,,42.3,,,,
G345,,,,,75,,,,
G347,,,,,96.35,,,,
G348,,,,,96.35,,,,
G349,,,,Oesophageal tamponade (Blakemore bag) - insertion,45.3,,,,
G350,,,,,,,76.05,,
G351,,,,,,,31.85,,
G352,,,,Biliary tract provocative test with cholecystokinin,9.6,,,,
G353,,,,,,,28.75,,
G354,,,,Anal-rectal manometry,,,38.5,,
G355,,,,,9.6,,,,
G356,,,,,33.8,,,,
G357,,,,,19.55,,,,
G358,,,,,24.9,,,,
G359,,,,,105.15,,,,
G362,,,,,6.25,,,,
G363,,,,Cervical mucous penetration test,22,,,,
G365,,,,,12,,,,
G366,,,,,148.5,,,,
G369,,,,,5.3,,,,
G370,,,,,20.25,,,,
G371,,,,,19.9,,,,
G372,,,,,3.89,,,,
G373,,,,,6.75,,,,
G374,,,,,54.3,,,,
G375,,,,,8.85,,,,
G376,,,,,10.2,,,,
G377,,,,,13.3,,,,
G378,,,,Insertion of intrauterine contraceptive device,39.95,,,,
G379,,,,,6.15,,,,
G380,,,,,27.05,,,,
G381,,,,,54.25,,,,
G382,,,,,13.95,,,,
G383,,,,,,,,,
G384,,,,Infiltration of tissues for trigger point,8.85,,,,
G385,,,,,4.55,,,,
G387,,,,,125,,,,
G388,,,,,25.75,,,,
G389,,,,,13.9,,,,
G390,,,,,262.4,,,,
G391,,,,,30.6,,,,
G394,,,,,12,,,,
G395,,,,,57.45,,,,
G396,,,,Injections of extensive keloids,24.9,,,,
G398,,,,Pessary fitting - initial or re-fitting,63.65,,,,
G399,,,,,44.15,,,,
G400,,,,,223.1,,,,
G401,,,,,146.45,,,,
G402,,,,,58.6,,,,
G403,,,,,21.15,,,,
G404,,,,Chronic ventilatory care outside an Intensive Care Unit,61,,,,
G405,,,,,183.8,,,,
G406,,,,,96.45,,,,
G407,,,,,64.2,,,,
G408,,,,,155.9,,,,
G409,,,,,77.95,,,,
G410,,,,,68.4,,,,
G411,,,,Nephrological management of donor procurement,192.1,,,,
G412,,,,,311.9,,,,
G413,,,,,170.85,,,,
G414,,,,Routine EEG - technical component,,25.75,,,
G415,,,,,,,23.15,,
G417,,,,,15.9,,,,
G418,,,,,,,62.5,,
G419,,,,Tensilon test,20.6,,,,
G420,,,,,13.15,,,,
G421,,,,Subconjunctival or sub-Tenons capsule injection,27.7,,,,
G422,,,,,34.2,,,,
G423,,,,,90.3,,,,
G424,,,,,201,,,,
G425,,,,,,,44.4,,
G426,,,,Glaucoma provocative tests,9.7,,,,
G427,,,,Ophthalmodynamometry,9.6,,,,
G428,,,,,,,6.85,,
G429,,,,,42.45,,,,
G430,,,,,86.05,,,,
G431,,,,,41.6,,,,
G432,,,,,,,26.95,,
G433,,,,,,,9.9,,
G435,,,,,5.1,,,,
G436,,,,,,,14.5,,
G437,,,,,,,22.9,,
G438,,,,,,,22.15,,
G439,,,,,,,75,,
G440,,,,,,10.85,,,
G441,,,,,,18.9,,,
G442,,,,,,3.44,,,
G443,,,,,,8.25,,,
G444,,,,,,,7,,
G448,,,,,,22.9,,,
G450,,,,,,,5.7,,
G451,,,,,,19.6,,,
G453,,,,Electro-oculogram - interpretation fee,41.6,,,,
G454,,,,Stroboscopy,16.8,,,,
G455,,,,,,28.9,,,
G456,,,,,,,99.9,,
G457,,,,,,,61.95,,
G458,,,,Single fibre electromyography,191.7,,,,
G460,,,,Unilateral PDT per patient,330,,,,
G461,,,,Bilateral PDT per patient,500,,,,
G462,,,,Administration of oral polio vaccine,1.65,,,,
G463,,,,Hydrophilic Bandage lens fitting,90.3,,,,
G466,,,,,,19.45,,,
G470,,,,,7.85,,,,
G471,,,,,,28.9,,,
G473,,,,,,,275,,
G475,,,,,23.75,,,,
G476,,,,,5.4,,,,
G477,,,,,,,5.4,,
G478,,,,,89.7,,,,
G479,,,,,103.4,,,,
G480,,,,,9.9,,,,
G481,,,,,1.37,,,,
G482,,,,,7.35,,,,
G483,,,,,9.7,,,,
G485,,,,,45.45,,,,
G486,,,,,28.5,,,,
G487,,,,,28.5,,,,
G488,,,,,18.8,,,,
G489,,,,,3.54,,,,
G490,,,,,42.3,,,,
G493,,,,,6.25,,,,
G494,,,,,10.2,,,,
G495,,,,,42.3,,,,
G496,,,,,,,120,,
G497,,,,,49.8,,,,
G498,,,,,10.2,,,,
G499,,,,,49.8,,,,
G500,,,,,31.8,,,,
G501,,,,,6.25,,,,
G509,,,,,80.4,,,,
G510,,,,,21,,,,
G511,,,,,17.75,,,,
G512,,,,Palliative care case management fee,67.75,,,,
G513,,,,,42.3,,,,
G514,,,,,10.6,,,,
G515,,,,Open circuit indirect calorimetry,46.3,,,,
G516,,,,Measurement of thermic effect of feeding,,,36.9,,
G517,,,,,10.05,,,,
G518,,,,,,,11.2,,
G519,,,,,,10.9,,,
G520,,,,,21.2,,,,
G521,,,,,111.8,,,,
G522,,,,,38,,,,
G523,,,,,57.65,,,,
G524,,,,,,,75,,
G525,,,,,,,5.85,,
G526,,,,,,,16.45,,
G529,,,,,,,1.86,,
G530,,,,,,,5.95,,
G533,,,,,,,18.3,,
G536,,,,Sclerotherapy including one post injection visit,77.85,,,,
G537,,,,Repeat sclerotherapy,26.05,,,,
G538,,,,,5.8,,,,
G540,,,,,,9.55,,,
G541,,,,,,41.2,,,
G542,,,,,,24.4,,,
G543,,,,,,,120,,
G544,,,,,,8.75,,,
G545,,,,,,,14.7,,
G546,,,,,,,30.45,,
G547,,,,,185.7,,,,
G548,,,,,278.85,,,,
G549,,,,,157.85,,,,
G550,,,,Pessary care - pessary removal,10,,,,
G551,,,,,170.85,,,,
G552,,,,,20,,,,
G554,,,,,,48.9,,,
G555,,,,,,,120,,
G556,,,,,136.4,,,,
G557,,,,,383.45,,,,
G558,,,,,228.9,,,,
G559,,,,,115.75,,,,
G570,,,,,,118.95,,,
G571,,,,,,,96.2,,
G574,,,,,,16.95,,,
G575,,,,,,,13.95,,
G579,,,,,11.35,,,,
G580,,,,Insertion of oesophageal t ransducer,45,,,,
G581,,,,,,,25,,
G582,,,,,,135.05,,,
G583,,,,,,,110.15,,
G585,,,,,,133.9,,,
G590,,,,,5.65,,,,
G592,,,,,1.65,,,,
G593,,,,,13,,,,
G600,,,,,376.05,,,,
G601,,,,,187.95,,,,
G603,,,,,564,,,,
G604,,,,,536.95,,,,
G610,,,,,258.05,,,,
G611,,,,,129,,,,
G620,,,,,162.95,,,,
G621,,,,,81.5,,,,
G647,,,,,,119,,,
G648,,,,,,173.2,,,
G649,,,,,,,122.25,,
G650,,,,,,,47.9,,
G651,,,,,,25.25,,,
G652,,,,,,34.55,,,
G653,,,,,,,34.1,,
G654,,,,,,24.05,,,
G655,,,,,,16.45,,,
G656,,,,,,,51.15,,
G657,,,,,,,68.2,,
G658,,,,,,,75.45,,
G659,,,,,,,95.85,,
G682,,,,,,50.5,,,
G683,,,,,,69.05,,,
G684,,,,,,75.7,,,
G685,,,,,,103.6,,,
G686,,,,,,48.15,,,
G687,,,,,,32.95,,,
G688,,,,,,72.2,,,
G689,,,,,,49.45,,,
G694,,,,,,113.05,,,
G695,,,,,,83.15,,,
G696,,,,,,,86.8,,
G700,,,,Basic fee-per-visit premium for procedures marked(+),5.6,,,,
G790,,,,1st day,223.1,,,,
G791,,,,2nd day to 30th day,146.45,,,,
G792,,,,31st day onwards,58.6,,,,
G800,,,,,83.8,,,,
G801,,,,,41.9,,,,
G802,,,,,83.8,,,,
G804,,,,,71.85,,,,
G805,,,,,35.9,,,,
G807,,,,,35.75,,,,
G810,,,,Corneal topography,4.8,,,,
G811,,,,Keratometry,4.8,,,,
G812,,,,Specular photomicroscopy,4.8,,,,
G813,,,,Corneal pachymetry,5.1,,,,
G814,,,,Orthoptic examination,25,,,,
G815,,,,,,38,,,
G816,,,,,,,19.15,,
G818,,,,,35,,,,
G820,,,,,35,,,,
G821,,,,,35,,,,
G822,,,,,,,,,
G823,,,,,35,,,,
G840,,,,,5.4,,,,
G841,,,,,6.35,,,,
G842,,,,,5.4,,,,
G843,,,,,5.4,,,,
G844,,,,,5.4,,,,
G845,,,,,5.4,,,,
G846,,,,,5.4,,,,
G847,,,,,5.4,,,,
G848,,,,,5.4,,,,
G850,,,,,,21.5,,,
G851,,,,,,32.3,,,
G852,,,,,,35,,,
G853,,,,,,23.2,,,
G854,,,,,,6.8,,,
G855,,,,,,6.65,,,
G856,,,,,,9.55,,,
G857,,,,,,4.65,,,
G858,,,,,,14.05,,,
G860,,,,,130.15,,,,
G861,,,,,130.15,,,,
G862,,,,,130.15,,,,
G863,,,,,130.15,,,,
G864,,,,,130.15,,,,
G865,,,,,130.15,,,,
G866,,,,,70.4,,,,
G869,,,,Botulinum toxin injection(s) of bladder detrusor muscle,150,,,,
G870,,,,,120,,,,
G871,,,,,120,,,,
G872,,,,,120,,,,
G873,,,,Botulinum toxin injection(s) for spasmodic dysphonia,120,,,,
G874,,,,or G876,50,,,,
G875,,,,First injection,40,,,,
G876,,,,,10,,,,
G877,,,,,18.85,,,,
G878,,,,,28.1,,,,
G879,,,,,18.85,,,,
G880,,,,,28.1,,,,
G900,,,,,12.7,,,,
G910,,,,Cervical,80,,,,
G911,,,,Thoracic,80,,,,
G912,,,,Lumbar/Sacral,80,,,,
G913,,,,each additional si te,20,,,,
G914,,,,First site,56,,,,
G915,,,,,14,,,,
G916,,,,,75,,,,
G917,,,,,160,,,,
G918,,,,,74.2,,,,
G919,,,,,400,,,,
G920,,,,with ultrasound or fluoroscopic guidance,80,,,,
G921,,,,,12.5,,,,
H001,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Newborn care in hospital and/or home,52.2,,,,
H002,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
H003,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,16.9,,,,
H007,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,61.65,,,,
H055,,,,Consultation (see General Preamble GP19),106.8,,,,
H065,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Consultation in Emergency Medicine,81.25,,,,
H100,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Emergency department investigative ultrasound,19.65,,,,
H101,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Minor assessment,17.1,,,,
H102,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Comprehensive assessment and care,43.05,,,,
H103,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Multiple systems assessment,40,,,,
H104,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Re-assessment,17.1,,,,
H105,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,In-patient interim admission orders,26.25,,,,
H112,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,35.15,,,,
H113,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,20.35,,,,
H121,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Minor assessment,30.7,,,,
H122,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Comprehensive assessment and care,76.95,,,,
H123,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Multiple systems assessment,68,,,,
H124,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Re-assessment,30.7,,,,
H131,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Minor assessment,20.95,,,,
H132,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Comprehensive assessment and care,52.55,,,,
H133,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Multiple systems assessment,47.45,,,,
H134,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Re-assessment,20.95,,,,
H151,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Minor assessment,26.35,,,,
H152,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Comprehensive assessment and care,66.15,,,,
H153,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Multiple systems assessment,58.9,,,,
H154,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Re-assessment,26.35,,,,
H261,,,,,60.8,,,,
H262,,,,,63.5,,,,
H263,,,,,18.5,,,,
H267,,,,Attendance at maternal delivery,63.45,,,,
H312,,,,,42.7,,,,
H313,,,,,84.2,,,,
H317,,,,,42.7,,,,
H319,,,,,42.7,,,,
H960,,,,,36.4,,,,
H962,,,,,36.4,,,,
H963,,,,,36.4,,,,
H964,,,,,36.4,,,,
H980,,,,,20,,,,
H981,,,,,20,,,,
H984,,,,,60,,,,
H985,,,,,60,,,,
H986,,,,,100,,,,
H987,,,,,100,,,,
H988,,,,,75,,,,
H989,,,,,75,,,,
J001,,,,,34,,,,
J002,,,,,27,,,,
J003,,,,,68,,,,
J004,,,,,70.35,,,,
J005,,,,,45.4,,,,
J006,,,,,105.3,,,,
J007,,,,,,,,,
